p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
3.7445328097899277e-59,0.2012596333433212,0.381,0.313,9.769111647460942e-55,BTBD7
4.116652345624403e-59,0.15551003701354424,0.599,0.51,1.0739934304499506e-54,ACSS3
4.883564466140959e-59,0.20557454470720526,0.357,0.29,1.2740731335715148e-54,CSNK2A1
5.176405825915204e-59,-0.25179654467455004,0.45,0.501,1.3504725159230176e-54,MASP2
5.334184944611654e-59,0.23071126224907812,0.281,0.22,1.3916355101997345e-54,INSIG2
5.343233243609379e-59,0.1800437201391496,0.431,0.358,1.393996120925251e-54,EPS15
5.8085076111961125e-59,-0.16386926056863116,0.876,0.865,1.515381550684954e-54,SHANK2
7.729978370662544e-59,0.24888102643232712,0.169,0.121,2.0166740571221512e-54,SLC37A1
7.853408443049253e-59,-0.32914568565526836,0.247,0.303,2.0488757287071198e-54,RABEPK
9.13562885864898e-59,0.18463125925324175,0.424,0.351,2.3833942129329325e-54,OCLN
1.0137180169876136e-58,0.18006197440297245,0.394,0.322,2.644688934518985e-54,SRBD1
1.4937817833802942e-58,0.2790427028063549,0.217,0.164,3.8971272946608496e-54,EFL1
